Weekly New Jersey No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNJ_DPG&f=W
23:30:33 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New Jersey No. 2 Heating Oil Residential Price Dollars per Gallon
02/15/1993,1.028
02/1/1993,1.022
01/18/1993,1.011
01/4/1993,1.022
12/21/1992,1.019
12/7/1992,1.021
11/16/1992,1.046
11/2/1992,1.045
10/19/1992,1.039
10/5/1992,1.033
03/16/1992,1.027
03/2/1992,1.039
02/17/1992,1.044
02/3/1992,1.041
01/20/1992,1.026
01/6/1992,1.04
12/16/1991,1.067
12/2/1991,1.079
11/18/1991,1.083
11/4/1991,1.065
10/21/1991,1.041
10/7/1991,0.997
03/18/1991,1.122
03/4/1991,1.176
02/18/1991,1.229
02/4/1991,1.25
01/21/1991,1.296
01/7/1991,1.272
12/17/1990,1.288
12/3/1990,1.346
11/19/1990,1.341
11/5/1990,1.36
10/15/1990,1.377
10/1/1990,1.317
